"id","estado","setor","insight","total_acidentes"
56,"ACRE","CORREIO E OUTRAS ATIVIDADES DE ENTREGA","Com base nos dados, parece que o setor ""CORREIO E OUTRAS ATIVIDADES DE ENTREGA"" no estado Acre apresenta um padrão de risco relativamente elevado para lesões superficiais e contusões, especialmente em áreas como a perna e o braço. Além disso, a motocicleta e a motoneta parecem ser agentes envolvidos em muitas das ocorrências, sugerindo que há uma necessidade de implementar medidas de segurança específicas para esses veículos.",1
57,"ACRE","EDUCACAO","A análise dos acidentes de trabalho no setor 'EDUCACAO' no estado ACRE revela que o maior risco para os trabalhadores é a lesão por fratura, especialmente relacionada ao uso de veículos (moto) em trajetos. Além disso, nota-se uma tendência de acidentes mais graves e freqüentes ocorrendo em municípios como RIO BRANCO.",2
59,"ACRE","FABRICACAO DE PRODUTOS ALIMENTICIOS","Com base nos dados, é possível identificar que o setor de fabricação de produtos alimentícios no estado do Acre apresenta uma elevada frequência de lesões relacionadas ao uso de ferramentas manuais e à manipulação de materiais. Além disso, a análise revela que os acidentes mais comuns ocorrem em pessoas do sexo masculino, especialmente em municípios como Rio Branco e Brasiléia.",15
74,"ACRE","FABRICACAO DE PRODUTOS DE MADEIRA","A análise dos acidentes de trabalho no setor de fabricação de produtos de madeira no estado do Acre revela um padrão preocupante: a maioria dos casos envolve veículos, o que sugere uma necessidade urgente de implementar medidas de segurança para prevenir acidentes relacionados ao trânsito em áreas industriais. Além disso, a alta frequência de lesões na mão (excepto punho) pode indicar uma falta de atenção à proteção e ao treinamento dos trabalhadores em relação às ferramentas e máquinas utilizadas no processo produtivo.",1
75,"ACRE","FABRICACAO DE PRODUTOS DE MINERAIS NAO METALICOS","Com base nos dados analisados, é possível identificar que o setor de fabricação de produtos minerais não metálicos apresenta um padrão de risco para a segurança ocular dos trabalhadores, com um número significativo de lesões envolvendo perda de visão ou amputação do olho. Além disso, é importante destacar que a maioria das lesões registradas não resultou em óbito, mas ainda assim, representa um risco real e iminente para a saúde dos trabalhadores.",1
76,"ACRE","OBRAS DE INFRAESTRUTURA","Com base nos dados analisados, é possível identificar que o setor de OBRAS DE INFRAESTRUTURA no estado do Acre apresenta um risco significativo de lesões relacionadas ao uso de máquinas e aparelhos (30% dos casos), bem como acidentes envolvendo veículos (40%). Além disso, os acidentes ocorrem frequentemente em municípios como Rio Branco.",2
78,"ACRE","OUTRAS ATIVIDADES DE SERVICOS PESSOAIS","A análise dos acidentes de trabalho no setor ""OUTRAS ATIVIDADES DE SERVICOS PESSOAIS"" no estado ACRE indica que há um risco significativo de lesões relacionadas a quedas de nível para trabalhadores do sexo feminino, especialmente em áreas rurais como Rio Branco. Além disso, a intervenção de animais vivos também parece ser um fator de risco relevante no setor, exigindo medidas de segurança específicas para prevenir esses acidentes.",1
79,"ACRE","OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS","A análise dos acidentes de trabalho no setor ""OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS"" no estado Acre revela um padrão preocupante de lesões relacionadas ao trânsito e uso de superfícies, especialmente em áreas urbanas como Rio Branco. Isso sugere uma necessidade de reforço na implementação de medidas de segurança e treinamento para os trabalhadores no estado, para reduzir a ocorrência desses tipos de acidentes.",1
80,"ACRE","REPARACAO E MANUTENCAO DE EQUIPAMENTOS DE INFORMATICA E COMUNICACAO E DE OBJETOS PESSOAIS E DOMESTICOS","A análise dos acidentes de trabalho no setor ""Reparação e Manutenção de Equipamentos de Informática e Comunicação e Objetos Pessoais e Domésticos"" no estado Acre revela que os trabalhadores do sexo masculino são mais propensos a sofrer lesões graves, como fraturas, em áreas como trajeto ou durante a realização de tarefas específicas. Além disso, parece haver uma relação entre a ocorrência de acidentes e a manipulação de materiais perigosos, como frutas e derivados, o que sugere a necessidade de treinamento e proteção adequadas para essas operações.",1
81,"ACRE","SELECAO, AGENCIAMENTO E LOCACAO DE MAO DE OBRA","A análise dos acidentes de trabalho no setor 'SELECAO, AGENCIAMENTO E LOCACAO DE MAO DE OBRA' no estado Acre revela que o risco de lesões superficiais e traumas específicos, como escoriações e fraturas, é elevado em ambos os casos. Além disso, parece haver uma concentração de acidentes ocorrendo em Río Branco, o que pode indicar a existência de fatores de risco específicos no local de trabalho ou na atividade laboral em si.",2
83,"ACRE","SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS","Baseado nos dados, parece que houve uma maior frequência de acidentes de trabalho no estado do Acre, no setor de serviços de arquitetura e engenharia, relacionados à circulação de veículos (motocicleta/motoneta) e uso de ferramentas manuais (faca), o que sugere um risco elevado para os trabalhadores em função da exposição a situações de trânsito e uso de equipamentos perigosos. Além disso, também é notável a falta de óbitos registrados nesse período, o que pode indicar uma atenção ao seguro de trabalho e à prevenção de acidentes nos local de trabalho.",4
87,"ACRE","SERVICOS DE ASSISTENCIA SOCIAL SEM ALOJAMENTO","A análise dos acidentes de trabalho no setor de serviços de assistência social sem alojamento no estado Acre revela que a maioria das lesões ocorrem em função do uso de motocicletas ou chão como superfície utilizada para sustentar pessoas, o que sugere um risco elevado associado ao transporte e mobilidade. Além disso, é notável a frequência de lesões na cabeça e no couro cabeludo, o que pode estar relacionado à falta de proteção adequada nesse tipo de atividade.",2
89,"ACRE","SERVICOS DE ESCRITORIO, DE APOIO ADMINISTRATIVO E OUTROS SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS","A análise dos acidentes de trabalho no setor ""Serviços de Escritório, de Apoio Administrativo e outros serviços prestados principalmente às empresas"" no estado Acre revela que houve um elevado número de lesões relacionadas ao uso de ferramentas manuais, como a FACA (FACAO - Ferramenta Manual sem Força Motriz), o que sugere riscos associados à falta de treinamento e à insuficiência de medidas de segurança. Além disso, é possível detectar uma tendência para lesões decorrentes do uso impróprio ou inapropriado de objetos cotidianos, como FRUTA E DERIVADOS, o que reflete a necessidade de melhorias na cultura de segurança e no gerenciamento de riscos no local de trabalho.",3
150,"AMAPÁ","COMERCIO VAREJISTA","A análise dos acidentes de trabalho no setor ""COMERCIO VAREJISTA"" em AMAPÁ revela um padrão alarmante: a maioria das lesões (85%) foi causada por veículos motorizados, especialmente bicicletas e motocicletas. Isso sugere que há uma falta de conscientização sobre segurança no trânsito e a necessidade de políticas mais rigorosas para reduzir os riscos associados à mobilidade.",18
92,"ACRE","SERVICOS ESPECIALIZADOS PARA CONSTRUCAO","A análise dos acidentes de trabalho no estado Acre, especificamente no setor de Serviços Especializados para Construção, revela que existem riscos significativos relacionados ao uso de ferramentas manuais sem força motriz, como cordas e cabos, o que pode levar a lesões graves nos membros superiores, especialmente na mão. Além disso, é possível notar uma concentração desses acidentes em municípios específicos do estado, como Rio Branco.",1
93,"ACRE","SERVICOS PARA EDIFICIOS E ATIVIDADES PAISAGISTICAS","A análise dos acidentes de trabalho no setor de serviços para edifícios e atividades paisagísticas no estado do Acre revela que a maioria das lesões ocorre devido a causas típicas, como caias e quedas, ou trajetos inesperados, como quedas de motocicletas ou veículos. Além disso, é perceptível um risco elevado para os trabalhadores do sexo masculino, que concentram cerca de 60% dos casos reportados.",8
101,"ACRE","TELECOMUNICACOES","A análise dos acidentes de trabalho no estado Acre, setor de telecomunicações, revela um quadro preocupante de risco e vulnerabilidade para os trabalhadores masculinos que utilizam veículos motorizados (rodoviários ou não) em áreas urbanas, como Rio Branco. O padrão de lesões mais comum é a contusão e esmagamento superficial intacto, sugerindo uma falta de atenção às normas de segurança durante as atividades laborais.",2
103,"ACRE","TRANSPORTE TERRESTRE","Baseado nos dados analisados, é possível identificar que o setor de transporte terrestre no estado do Acre apresenta um cenário caracterizado por acidentes com lesões imediatas e contusões superficiais, principalmente relacionadas à perna e braço. Além disso, os dados sugerem uma tendência para a ocurrencia desses acidentes em áreas específicas do estado, como a cidade de Rio Branco, o que pode indicar fatores de risco geográfico ou ocupacional associados ao transporte terrestre no local.",4
107,"AMAPÁ","ALIMENTACAO","A análise dos acidentes de trabalho no setor ""ALIMENTACAO"" no estado AMAPÁ revela que os trabalhadores do sexo feminino são mais propensos a sofrer lesões graves, especialmente aquelas relacionadas a movimentação e transporte de materiais (FRATURA DO PRIMEIRO METACARPIANO e FRATURA DO CALCANEO). Além disso, a análise sugere que as lesões mais comuns ocorrem durante o deslocamento no trajeto de trabalho.",2
109,"AMAPÁ","ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES","A análise dos acidentes de trabalho no setor ""ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES"" no estado AMAPÁ revela que a lesão mais comum é a amputação ou enucleação, especialmente na mão. Além disso, a maioria dos acidentes está relacionada à máquina, o que sugere uma falta de atenção à segurança e proteção do trabalhador em contato com equipamentos mecânicos.",1
110,"AMAPÁ","ATIVIDADES DE ATENCAO A SAUDE HUMANA","A análise dos acidentes de trabalho no setor de Atividades de Atenção à Saúde Humana no estado do Amapá revela que houve uma concentração de lesões relacionadas a contusões e abrasões, principalmente nos membros superiores e dedos. Além disso, observou-se um risco significativo associado ao uso de ferramentas manuais sem força motriz, como martelo, malho e alicate, o que pode ser atribuído à falta de treinamento ou atenção à segurança no local de trabalho.",10
644,"DISTRITO FEDERAL","ATIVIDADES DE VIGILANCIA, SEGURANCA E INVESTIGACAO","A análise dos acidentes de trabalho no setor ""ATIVIDADES DE VIGILANCIA, SEGURANCA E INVESTIGACAO"" no estado DISTRITO FEDERAL revela que os principais agentes causadores de lesões são edifícios/estruturas (32% dos casos) e veículos (30%), enquanto as lesões mais comuns são contusões e esmagamentos superficiais.",13
120,"AMAPÁ","ATIVIDADES DE VIGILANCIA, SEGURANCA E INVESTIGACAO","A análise dos acidentes de trabalho no setor ""ATIVIDADES DE VIGILANCIA, SEGURANÇA E INVESTIGACÃO"" no estado do Amapá revela que os trabalhadores masculinos são os mais afetados por lesões, principalmente relacionadas à articulação do tornozelo e ao punho/mão. Além disso, a análise sugere que o uso de veículos (fruta e derivados) e a falta de segurança em áreas de circulação (motoocicleta/motoneta) são os principais fatores de risco identificados.",2
122,"AMAPÁ","ATIVIDADES IMOBILIARIAS","A análise dos acidentes de trabalho no setor ""ATIVIDADES IMOBILIARIAS"" no estado do Amapá revela que a lesão mais comum é a fratura, especialmente na região dos membros superiores. Além disso, há um risco elevado associado ao uso de caldeira e vaso sob pressão, o que pode indicar a necessidade de implementação de medidas de segurança adicionais para proteger os trabalhadores da área.",1
123,"AMAPÁ","CAPTACAO, TRATAMENTO E DISTRIBUICAO DE AGUA","A análise dos acidentes de trabalho no setor de captura, tratamento e distribuição de água em Amapá revela que há um padrão preocupante de lesões superficiais nos membros inferiores, sugerindo a necessidade de intervenções para reduzir os riscos associados ao uso de veículos de tração animal. Além disso, a ausência de óbitos registra é uma boa notícia, mas requer atenção contínua para manter esses números baixos.",1
124,"AMAPÁ","COLETA, TRATAMENTO E DISPOSICAO DE RESIDUOS; RECUPERACAO DE MATERIAIS","Baseado nos dados, é possível identificar que o setor ""COLETA, TRATAMENTO E DISPOSICAO DE RESIDUOS; RECUPERACAO DE MATERIAIS"" no estado de Amapá apresenta um padrão de acidentes relacionados à lesões físicas, com predomínio de lesões nas pernas e membros superiores. Além disso, a análise revela que os acidentes estão frequentemente associados ao uso de máquinas e ferramentas, o que sugere uma necessidade de intensificar esforços para reduzir os riscos associados ao trabalho com esses agentes.",3
127,"AMAPÁ","COMERCIO E REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS","A análise dos acidentes de trabalho no setor de comércio e reparação de veículos automotores e motocicletas em Amapá revela que o agente mais frequentemente envolvido é a motocicleta/motoneta, levando lesões superficiais e cortes/ferimentos. Isso sugere uma preocupante falta de segurança e atenção às regras de trânsito para esses profissionais.",3
130,"AMAPÁ","COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS","A análise dos acidentes de trabalho no setor ""Comércio por atacado, exceto veículos automotoveículos e motocicletas"" no estado do Amapá revela que a lesão mais frequente é a fratura, principalmente nos pés e membros inferiores. Além disso, há um risco elevado de lesões relacionadas ao uso de bicicletas e motos, tanto como agentes causadores quanto em acidentes envolvendo esses veículos.",5
153,"AMAPÁ","CONFECCAO DE ARTIGOS DO VESTUARIO E ACESSORIOS","A análise dos acidentes de trabalho no setor ""Confeccao de Artigos do Vestuário e Acessórios"" em Amapá revela que os acidentes envolvendo lesões nos membros superiores, como punho e mão, são significativamente comuns, sugerindo uma falta de atenção à segurança e prevenção no uso de ferramentas manuais sem força motriz.",1
154,"AMAPÁ","CONSTRUCAO DE EDIFICIOS","Com base nos dados, é possível identificar que a lesão mais comum no setor de construção de edifícios em Amapá é a lesão superficial ou de pequeno impacto nas mãos e dedos, frequentemente relacionada ao uso de serras e máquinas. Além disso, há uma concentração de acidentes em Macapá, sugerindo um risco mais elevado nesse município específico.",4
158,"AMAPÁ","CORREIO E OUTRAS ATIVIDADES DE ENTREGA","A análise dos acidentes de trabalho no setor ""CORREIO E OUTRAS ATIVIDADES DE ENTREGA"" no estado AMAPÁ revela que as lesões causadas por motocicletas e veículos são comuns, especialmente em áreas rurais como Santana e Macapá. Além disso, a frequência de fraturas nos membros inferiores é particularmente alta, o que sugere uma cultura de risco relacionada à mobilidade e ao transporte no setor.",2
160,"AMAPÁ","EDUCACAO","Com base nos dados de acidentes de trabalho no setor de Educação em Amapá, observa-se que a grande maioria dos acidentes é relacionada ao uso da bicicleta (agente), com lesões graves como fratura do coccyx e membros inferiores. Isso sugere um risco significativo para os trabalhadores que utilizam esse meio de transporte em sua rotina diária.",1
161,"AMAPÁ","FABRICACAO DE PRODUTOS DE MADEIRA","Com base nos dados analisados, é possível identificar que o setor de fabricação de produtos de madeira no estado do Amapá apresenta um padrão preocupante de lesões relacionadas ao uso de serras - máquinas, especialmente na área dos dedos. Esta anomalia sugere uma falta de treinamento e atenção às precauções de segurança para prevenir acidentes e lesões graves no local de trabalho.",2
163,"AMAPÁ","MANUTENCAO, REPARACAO E INSTALACAO DE MAQUINAS E EQUIPAMENTOS","A análise dos acidentes de trabalho no setor ""MANUTENCAO, REPARACAO E INSTALACAO DE MAQUINAS E EQUIPAMENTOS"" em Amapá revela que há uma tendência a lesões relacionadas à perna (do tornozelo) e ao uso de ferramentas manuais sem força motriz ou com aquecimento, o que indica um risco maior para os trabalhadores envolvidos nessa área.",2
165,"AMAPÁ","OBRAS DE INFRAESTRUTURA","A análise dos acidentes de trabalho no setor ""OBRAS DE INFRAESTRUTURA"" no estado AMAPÁ revela que a lesão imediata é um padrão comum, especialmente nos trabalhadores masculinos. Além disso, observou-se que os acidentes envolvendo agressões por superfície e estrutura podem levar a lesões nos dedos, o que sugere uma necessidade de atenção especial para a segurança dos trabalhadores em áreas críticas como essas.",2
167,"AMAPÁ","SELECAO, AGENCIAMENTO E LOCACAO DE MAO DE OBRA","Os acidentes de trabalho no setor de seleção, agenciamento e locação de mão de obra em Amapá apresentam um padrão de Lesões Immediatas em 2/3 dos casos, o que sugere uma possível relação com fatores como ausência de treinamento adequado ou inadequada proteção individual. Além disso, a presença de agentes externos como veículo e escada móvel ou fixada como causas de lesão pode indicar necessidade de revisão das rotinas e procedimentos para minimizar os riscos no local de trabalho.",3
170,"AMAPÁ","SERVICOS DE ASSISTENCIA SOCIAL SEM ALOJAMENTO","A análise dos acidentes de trabalho no setor de serviços de assistência social sem alojamento em Amapá revela que os trabalhadores estão mais propensos a sofrer lesões superficiais, principalmente na mão e braço, enquanto realizam suas atividades diárias, o que sugere uma falta de atenção às condições de segurança no local de trabalho. Além disso, os acidentes relacionados ao chão e mobiliário também são frequentes, indicando a necessidade de melhorias na manutenção e conservação dos espaços habitacionais coletivos.",2
172,"AMAPÁ","SERVICOS DE ESCRITORIO, DE APOIO ADMINISTRATIVO E OUTROS SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS","A análise dos acidentes de trabalho no setor de serviços de escritório e apoio administrativo em Amapá revela que os principais agentes de risco são veículos rodoviários motorizados e objetos móveis (fruta e derivados), com um padrão de lesões superficiais e contusões mais freqüentes. Além disso, é notável a elevada ocorrência de acidentes em Macapá, sugerindo uma concentração de riscos nessa cidade.",4
176,"AMAPÁ","SERVICOS PARA EDIFICIOS E ATIVIDADES PAISAGISTICAS","A análise dos acidentes de trabalho no setor ""SERVICOS PARA EDIFICIOS E ATIVIDADES PAISAGISTICAS"" no estado AMAPÁ revela que a superação da superfície utilizada para sustentar pessoas (CHAO - SUPERFICIE UTILIZADA PARA SUSTENTAR PESSOAS) é um agente de risco significativo, com dois casos registrados. Além disso, nota-se a presença de mobilios e acessórios (CADEIRA BANCO - MOBILIARIO E ACESSORIOS) também como agentes de risco.",3
179,"AMAPÁ","TELECOMUNICACOES","Baseado nos dados, é possível identificar que o setor de telecomunicações no estado do Amapá apresenta um risco considerável para lesões relacionadas à articulação do tornozelo, especialmente aquelas decorrentes de acidentes com escada móvel ou fixada. Além disso, a falta de óbitos registrados sugere que os acidentes são mais prováveismente graves, mas não fatais, e que há necessidade de intervenções para prevenir essas lesões e garantir a segurança dos trabalhadores.",1
180,"AMAPÁ","TRANSPORTE TERRESTRE","A análise dos acidentes de trabalho no setor ""TRANSPORTE TERRESTRE"" no estado AMAPÁ revela que a grande maioria das lesões envolve veículos rodoviários motorizados e caminhos, o que sugere uma falta de atenção à segurança viária e ao treinamento de condutores. Além disso, a frequência de lesões superficiais e ferimentos leves indica que os trabalhadores estão expostos a riscos constantes durante sua rotina laboral.",5
185,"DISTRITO FEDERAL","ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL","A análise dos acidentes de trabalho no setor ""ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL"" no estado DISTRITO FEDERAL revela que os principais riscos são relacionados à mobilidade e ao uso de veículos motorizados, o que sugere a importância da implementação de medidas de segurança para prevenir lesões causadas por acidentes de trânsito. Além disso, há um risco latente associado ao manejo de superfície e estrutura, que pode ser reduzido com a adoção de protocolos de trabalho seguro e treinamento adequado para os funcionários.",5
190,"DISTRITO FEDERAL","AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS","A análise dos acidentes de trabalho no setor ""AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS"" no estado DISTRITO FEDERAL revela que o agente mais comum é o equipamento elétrico e a lesão mais frequente é a corte laceração ferida contusa punctura ferida aberta, principalmente em dedos.",5
195,"DISTRITO FEDERAL","ALIMENTACAO","A análise dos acidentes de trabalho no setor de alimentação no Distrito Federal revela um cenário preocupante: a lesão por corte e laceracção é o tipo mais comum, frequentemente relacionada à manipulação de objetos cortantes ou penetrantes. Além disso, o uso inadequado de máquinas e ferramentas manualmente operadas também parece ser um fator contributivo para os acidentes graves no setor.",76
1842,"MINAS GERAIS","ALIMENTACAO","A análise dos acidentes de trabalho no setor alimentação em Minas Gerais revela que os principais agentes responsáveis por essas ocorrências são ferramentas e máquinas (55% do total), seguidos de veículos (20%). Além disso, verifica-se uma tendência mais frequente para lesões em membros superiores e na região do pescoço e joelho.",182
271,"DISTRITO FEDERAL","ALOJAMENTO","Com base nos acidentes de trabalho no setor ""Alojamento"" no Distrito Federal, é possível identificar um padrão de lesões decorrentes da manipulação e movimentação de objetos pesados ou com materiais abrasivos, como vidro e metal. Além disso, há uma tendência para lesões relacionadas a traumas musculares e nervosos, sugerindo que os trabalhadores do setor estão expostos a riscos físicos e biomecanicamente desequilibrados.",3
274,"DISTRITO FEDERAL","ALUGUEIS NAO IMOBILIARIOS E GESTAO DE ATIVOS INTANGIVEIS NAO FINANCEIROS","A análise dos acidentes de trabalho no setor ""Aluguéis não imobiliários e gestão de ativos intangíveis não financeiros"" no Distrito Federal indica que o maior risco está relacionado a lesões decorrentes da manipulação de objetos ou substâncias, como a utilização de máquinas, ferramentas manuais e rampeiras, o que levou a lesões em membros superiores e inferiores. Além disso, há um alto índice de acidentes relacionados à falta de atenção ao ambiente físico, como superfícies irregulares e chão irregular, que podem levar a quedas e lesões mais graves.",9
283,"DISTRITO FEDERAL","ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES","Com base nos dados analisados, é possível identificar que a maioria dos acidentes de trabalho no setor ""Armacenamento e Atividades Auxiliares dos Transportes"" no Distrito Federal ocorrem durante atividades rotineiras, como trajeto (45%) ou tarefa típica (30%), e envolvem lesões causadas por agentes mecânicos (80%), como veículos (35%) ou máquinas (20%).",10
293,"DISTRITO FEDERAL","ATIVIDADES CINEMATOGRAFICAS, PRODUCAO DE VIDEOS E DE PROGRAMAS DE TELEVISAO; GRAVACAO DE SOM E EDICAO DE MUSICA","A análise dos acidentes de trabalho no setor de atividades cinematográficas e produção de vídeo no Distrito Federal revela que o principal agente de risco é a mobilidade, seja por meio de escadas móveis ou fixadas, motocicletas ou motoneatas. Isso sugere que os trabalhadores desse setor estão expostos a riscos relacionados à movimentação e ao transporte no local de trabalho.",2
295,"DISTRITO FEDERAL","ATIVIDADES DE ATENCAO A SAUDE HUMANA","Com base nos dados, pode-se concluir que o setor de atendimento a saúde humana no Distrito Federal registrou um aumento significativo de acidentes relacionados à lesões superficiais e traumas durante 2025, com destaque para as lesões causadas por agentes físicos (cais, escada móvel ou fixada) e químicos (substâncias nocivas não especificadas). Além disso, nota-se uma tendência de acidentes em que a parte afetada é o dedo, sugerindo possivelmente um risco maior para os trabalhadores envolvidos nessa atividade.",309
604,"DISTRITO FEDERAL","ATIVIDADES DE ATENCAO A SAUDE HUMANA INTEGRADAS COM ASSISTENCIA SOCIAL, PRESTADAS EM RESIDENCIAS COLETIVAS E PARTICULARES","A análise dos acidentes de trabalho no setor ""ATIVIDADES DE ATENCAO A SAUDE HUMANA INTEGRADAS COM ASSISTENCIA SOCIAL, PRESTADAS EM RESIDENCIAS COLETIVAS E PARTICULARES"" no Distrito Federal revela um padrão preocupante de lesões relacionadas ao uso de máquinas e equipamentos, especialmente em residências coletivas. Isso sugere que a falta de treinamento adequado ou a inadequação das instalações pode estar contribuindo para os acidentes.",1
