SUBCAT,DESCRICAO
A084,Infeccao intestinal devida a virus nao especificado
A085,Outras infeccoes intestinais especificadas
A09,Diarreia e gastroenterite de origem infecciosa presumivel
A150,Tuberculose pulmonar com confirmacao por exame microscopico da expectoracao com ou sem cultura
A151,Tuberculose pulmonar com confirmacao somente por cultura
A152,Tuberculose pulmonar com confirmacao histologica
A153,Tuberculose pulmonar com confirmacao por meio nao especificado
A154,Tuberculose dos ganglios intratoracicos com confirmacao bacteriologica e histologica
A155,Tuberculose da laringe da traqueia e dos bronquios com confirmacao bacteriologica e histologica
A156,Pleuris tuberculoso com confirmacao bacteriologica e histologica
A157,Tuberculose primaria das vias respiratorias com confirmacao bacteriologica e histologica
A158,Outras formas de tuberculose das vias respiratorias com confirmacao bacteriologica e histologica
A159,Tuberculose nao especificada das vias respiratorias com confirmacao bacteriologica e histologica
A160,Tuberculose pulmonar com exames bacteriologico e histologico negativos
A161,Tuberculose pulmonar sem realizacao de exame bacteriologico ou histologico
A162,Tuberculose pulmonar sem mencao de confirmacao bacteriologica ou histologica
A163,Tuberculose dos ganglios intratoracicos sem mencao de confirmacao bacteriologica ou histologica
A164,Tuberculose da laringe da traqueia e dos bronquios sem mencao de confirmacao bacteriologica ou histologica
A165,Pleurisia tuberculosa sem mencao de confirmacao bacteriologica ou histologica
A167,Tuberculosa respiratoria primaria sem mencao de confirmacao bacteriologica ou histologica
A168,Outras formas de tuberculose das vias respiratorias sem mencao de confirmacao bacteriologica ou histologica
A169,Tuberculose respiratoria nao especificada sem mencao de confirmacao bacteriologica ou histologica
A170,Meningite tuberculosa
A171,Tuberculoma meningeo
A178,Outras tuberculoses do sistema nervoso
A179,Tuberculose nao especificada do sistema nervoso
A180,Tuberculose ossea e das articulacoes
A181,Tuberculose do aparelho geniturinario
A182,Linfadenopatia tuberculosa periferica
A183,Tuberculose do intestino do peritonio e dos ganglios mesentericos
A184,Tuberculose de pele e do tecido celular subcutaneo
A185,Tuberculose do olho
A186,Tuberculose do ouvido
A187,Tuberculose das suprarenais
A188,Tuberculose de outros orgaos especificados
A190,Tuberculose miliar aguda de localizacao unica e especificada
A191,Tuberculose miliar aguda de multiplas localizacoes
A192,Tuberculose miliar aguda nao especificada
A198,Outras tuberculoses miliares
A199,Tuberculose miliar nao especificada
A200,Peste bubonica
A201,Peste celulocutanea
A202,Peste pneumonica
A203,Peste meningea
A207,Peste septicemica
A208,Outras formas de peste
A209,Peste forma nao especificada
A210,Tularemia ulceroglandular
A211,Tularemia oculoglandular
A212,Tularemia pulmonar
A213,Tularemia gastrointestinal
A217,Tularemia generalizada
A218,Outras formas de tularemia
A219,Tularemia forma nao especificada
A220,Carbunculo cutaneo
A221,Carbunculo pulmonar
A222,Carbunculo gastrointestinal
A227,Septicemia carbunculosa
A228,Outras formas de carbunculo
A229,Carbunculo forma nao especificada
A230,Brucelose por Brucella melitensis
A231,Brucelose por Brucella abortus
A232,Brucelose por Brucella suis
A233,Brucelose por Brucella canis
A238,Outras bruceloses
A239,Brucelose nao especificada
A240,Mormo
A241,Melioidose aguda e fulminante
A242,Melioidose subaguda e cronica
A243,Outras melioidoses
A244,Melioidose nao especificada
A250,Espirilose
A251,Estreptobacilose
A259,Febre transmitida por mordedura de rato tipo nao especificado
A260,Erisipeloide cutaneo
A267,Septicemia por Erysipelothrix
A268,Outras formas de erisipeloide
A269,Erisipeloide nao especificado
A270,Leptopirose icterohemorragica
A278,Outras formas de leptospirose
A279,Leptospirose nao especificada
A280,Pasteurelose
A281,Doenca por arranhadura do gato
A282,Yersiniose extraintestinal
A288,Outras doencas bacterianas zoonoticas especificadas nao classificadas em outra parte
A289,Doenca bacteriana zoonotica nao especificada
A300,Hanseniase lepra indeterminada
A301,Hanseniase lepra tuberculoide
A302,Hanseniase lepra tuberculoide borderline
A303,Hanseniase lepra dimorfa
A304,Hanseniase lepra lepromatosa borderline
A305,Hanseniase lepra lepromatosa
A308,Outras formas de hanseniase lepra
A309,Hanseniase lepra nao especificada
A310,Infeccao pulmonar micobacteriana
A311,Infeccao cutanea micobacteriana
A318,Outras infeccoes micobacterianas
A319,Infeccao micobacteriana nao especificada
A320,Listeriose cutanea
A321,Meningite e meningoencefalite por listeria
A327,Septicemia listeriotica
A328,Outras formas de listeriose
A329,Listeriose nao especificada
A33,Tetano do recemnascido neonatal
A34,Tetano obstetrico
A35,Outros tipos de tetano
A360,Difteria faringea
A361,Difteria nasofaringea
A362,Difteria laringea
A363,Difteria cutanea
A368,Outras formas de difteria
A369,Difteria nao especificada
A370,Coqueluche por Bordetella pertussis
A371,Coqueluche por Bordetella parapertussis
A378,Coqueluche por outras especies da Bordetella
A379,Coqueluche nao especificada
A38,Escarlatina
A390,Meningite meningococica
A391,Sindrome de WaterhouseFriderichsen
A392,Meningococcemia aguda
A393,Meningococcemia cronica
A394,Meningococcemia nao especificada
A395,Cardite por meningococos
A398,Outras infeccoes por meningococos
A399,Infeccao meningococica nao especificada
A400,Septicemia por Streptococcus do grupo A
A401,Septicemia por Streptococcus do grupo B
A402,Septicemia por Streptococcus do grupo D
A403,Septicemia por Streptococcus pneumonia
A408,Outras septicemias estreptococicas
A409,Septicemia estreptococica nao especificada
A410,Septicemia por Staphylococcus aureus
A411,Septicemia por outros estafilococos especificados
A412,Septicemia por estafilococos nao especificados
A413,Septicemia por Haemophilus influenzae
A414,Septicemia por anaerobios
A415,Septicemia por outros microorganismos gramnegativos
A418,Outras septicemias especificadas
A419,Septicemia nao especificada
A420,Actinomicose pulmonar
A421,Actinomicose abdominal
A422,Actinomicose cervicofacial
A427,Septicemia actinomicotica
A428,Outras formas de actinomicose
A429,Actinomicose nao especificada
A430,Nocardiose pulmonar
A431,Nocardiose cutanea
A438,Outras formas de nocardiose
A439,Nocardiose nao especificada
A440,Bartonelose sistemica
A441,Bartonelose cutanea e cutaneomucosa
A448,Outras formas de bartonelose
A449,Bartonelose nao especificada
A46,Erisipela
A480,Gangrena gasosa
A481,Doenca dos legionarios
A482,Doenca dos legionarios naopneumonica febre de Pontiac
A483,Sindrome do choque toxico
A484,Febre purpurica do Brasil
A488,Outras doencas bacterianas especificadas
A490,Infeccao estafilococica de localizacao nao especificada
A491,Infeccao estreptococica de localizacao nao especificada
A492,Infeccao por Haemophilus influenzae de localizacao nao especificada
A493,Infeccao por Mycoplasma de localizacao nao especificada
A498,Outras infeccoes bacterianas de localizacao nao especificada
A499,Infeccao bacteriana nao especificada
A500,Sifilis congenita precoce sintomatica
A501,Sifilis congenita precoce forma latente
A502,Sifilis congenita precoce nao especificada
A503,Oculopatia sifilitica congenita tardia
A504,Neurossifilis congenita tardia neurossifilis juvenil
A505,Outras formas tardias e sintomaticas da sifilis congenita
A506,Sifilis congenita tardia latente
A507,Sifilis congenita tardia nao especificada
A509,Sifilis congenita nao especificada
A510,Sifilis genital primaria
A511,Sifilis anal primaria
A512,Sifilis primaria de outras localizacoes
A513,Sifilis secundaria da pele e das mucosas
A514,Outras formas de sifilis secundaria
A515,Sifilis precoce latente
A519,Sifilis precoce nao especificada
A520,Sifilis cardiovascular
A521,Neurossifilis sintomatica
A522,Neurossifilis assintomatica
A523,Neurossifilis nao especificada
A527,Outras formas de sifilis tardia sintomatica
A528,Sifilis tardia latente
A529,Sifilis tardia nao especificada
A530,Sifilis latente nao especificada se recente ou tardia
A539,Sifilis nao especificada
A540,Infeccao gonococica do trato geniturinario inferior sem abscesso periuretral ou das glandulas acessorias
A541,Infeccao gonococica do trato geniturinario inferior com abscesso periuretral ou das glandulas acessorias
A542,Pelviperitonite gonococica e outras infeccoes geniturinarias gonococicas
A543,Infeccao gonococica do olho
A544,Infeccao gonococica do sistema musculoesqueletico
A545,Faringite gonococica
A546,Infeccao gonococica do anus ou do reto
A548,Outras infeccoes gonococicas
A549,Infeccao gonococica nao especificada
A55,Linfogranuloma venereo por clamidia
A560,Infeccoes por clamidias do trato geniturinario inferior
A561,Infeccao por clamidias pelviperitonial e de outros orgaos geniturinarios
A562,Infeccao por clamidias do trato geniturinario localizacao nao especificada
A563,Infeccao do anus e do reto por clamidias
A564,Infeccao da faringe por clamidias
A568,Infeccao por clamidias transmitida por via sexual de outras localizacoes
A57,Cancro mole
A58,Granuloma inguinal
A590,Tricomoniase urogenital
A598,Outras localizacoes de tricomoniase
A599,Tricomoniase nao especificada
A600,Infeccao dos orgaos genitais e do trato geniturinario pelo virus do herpes
A601,Infeccao da margem cutanea do anus e do reto pelo virus do herpes
A609,Infeccao anogenital nao especificada pelo virus do herpes
A630,Verrugas anogenitais venereas
A638,Outras doencas especificadas de transmissao predominantemente sexual
A64,Doencas sexualmente transmitidas nao especificadas
A65,Sifilis naovenerea
A660,Lesoes iniciais da bouba
A661,Papilomas multiplos e bouba plantar umida cravo de bouba
A662,Outras lesoes cutaneas precoces da bouba
A663,Hiperceratose devida a bouba
A664,Gomas e ulceras devidas a bouba
A665,Gangosa
A666,Lesoes osteoarticulares devidas a bouba
A667,Outras manifestacoes da bouba
A668,Bouba latente
A669,Bouba nao especificada
A670,Lesoes primarias da pinta
A671,Lesoes intermediarias da pinta
A672,Lesoes tardias da pinta
A673,Lesoes mistas da pinta
A679,Pinta nao especificada
A680,Febre recorrente transmitida por piolhos
A681,Febre recorrente transmitida por carrapatos
A689,Febre recorrente nao especificada
A690,Estomatite ulcerativa necrotizante
A691,Outras infeccoes de Vincent
A692,Doenca de Lyme
A698,Outras infeccoes especificadas por espiroquetas
A699,Infeccao por espiroqueta nao especificada
A70,Infeccoes causadas por Clamidia psittaci
A710,Fase inicial do tracoma
A711,Fase ativa do tracoma
A719,Tracoma nao especificado
A740,Conjuntivite causada por clamidias
A748,Outras doencas causadas por clamidias
A749,Infeccao causada por clamidias nao especificada
A750,Tifo epidemico transmitido por piolhos devido a Rickettsia prowazekii
A751,Tifo recrudescente doenca de Brill
A752,Tifo por Rickettsia typhi
A753,Tifo por Rickettsia tsutsugamuchi
A759,Tifo nao especificado
A770,Febre maculosa por Rickettsia richettsii
A771,Febre maculosa por Rickettsia conorii
A772,Febre maculosa devida a Rickettsia siberica
A773,Febre maculosa devida a Rickettsia australis
A778,Outras febres maculosas
A779,Febre maculosa nao especificada
A78,Febre Q
A790,Febre das trincheiras
A791,Rickettsiose variceliforme devida a Rickettsia akari
A798,Outros tipos de rickettsioses especificadas
A799,Rickettsiose nao especificada
A800,Poliomielite paralitica aguda associada ao virus vacinal
A801,Poliomielite paralitica aguda virus selvagem importado
A802,Poliomielite paralitica aguda virus selvagem indigena
A803,Poliomielites paraliticas agudas outras e nao especificadas
A804,Poliomielite aguda naoparalitica
A809,Poliomielite aguda nao especificada
A810,Doenca de CreutzfeldtJakob
A811,Panencefalite esclerosante subaguda
A812,Leucoencefalopatia multifocal progressiva
A818,Outras infeccoes por virus atipicos do sistema nervoso central
A819,Infeccao nao especificada do sistema nervosos central por virus atipicos
A820,Raiva silvestre
A821,Raiva urbana
A829,Raiva nao especificada
A830,Encefalite japonesa
A831,Encefalite equina ocidental
A832,Encefalite equina oriental
A833,Encefalite de St Louis
A834,Encefalite australiana
A835,Encefalite da California
A836,Doenca pelo virus de Rocio
A838,Outras encefalites por virus transmitidas por mosquitos
A839,Encefalite nao especificada por virus transmitida por mosquitos
A840,Encefalite da taiga encefalite vernoestival russa
A841,Encefalite da Europa Central transmitida por carrapatos
A848,Outras encefalites por virus transmitidas por carrapatos
A849,Encefalite nao especificada por virus transmitida por carrapatos
A850,Encefalite por enterovirus
A851,Encefalite por adenovirus
A852,Encefalite por virus transmitido por artropodes nao especificada
A858,Outras encefalites virais especificadas
A86,Encefalite viral nao especificada
A870,Meningite por enterovirus
A871,Meningite por adenovirus
A872,Coriomeningite linfocitaria
A878,Outras meningites virais
A879,Meningite viral nao especificada
A880,Febre exantematica por enterovirus exantema de Boston
A881,Vertigem epidemica
A888,Outras infeccoes virais especificadas do sistema nervoso central
A89,Infeccoes virais nao especificadas do sistema nervoso central
A90,Dengue dengue classico
A91,Febre hemorragica devida ao virus do dengue
A920,Febre de Chikungunya
A921,Febre de O'nyongnyong
A922,Febre equina venezuelana
A923,Infeccao pelo virus West Nile
A924,Febre do vale do Rift
A928,Outras febres virais especificadas transmitidas por mosquitos
A929,Febre viral transmitida por mosquitos nao especificada
A930,Febre de Oropouche
A931,Febre por flebotomos
A932,Febre do Colorado transmitida por carrapatos
A938,Outras febres virais especificadas transmitidas por artropodes
A94,Febre viral transmitida por artropodes nao especificada
A950,Febre amarela silvestre
A951,Febre amarela urbana
A959,Febre amarela nao especificada
A960,Febre hemorragica de Junin
A961,Febre hemorragica de Machupo
A962,Febre de Lassa
A968,Outras febres hemorragicas por arenavirus
A969,Febre hemorragica por arenavirus nao especificada
A980,Febre hemorragica da Crimeia do Congo
A981,Febre hemorragica de Omsk
A982,Doenca da floresta de Kyasanur
A983,Doenca de Marburg
A984,Doenca pelo virus Ebola
A985,Febre hemorragica com sindrome renal
A988,Outras febres hemorragicas especificadas por virus
A99,Febres hemorragicas virais nao especificadas
B000,Eczema herpetico
B001,Dermatite vesicular devido ao virus do herpes
B002,Gengivoestomatite e faringoamigdalite devida ao virus do herpes
B003,Meningite devida ao virus do herpes
B004,Encefalite devida ao virus do herpes
B005,Afeccoes oculares devidas ao virus do herpes
B007,Doenca disseminada devida ao virus do herpes
B008,Outras formas de infeccao devida ao virus do herpes
B009,Infeccao nao especificada devida ao virus do herpes
B010,Meningite por varicela
B011,Encefalite por varicela
B012,Pneumopatia varicelosa
B018,Varicela com outras complicacoes
B019,Varicela sem complicacao
B020,Encefalite pelo virus do herpes zoster
B021,Meningite pelo virus do herpes zoster
B022,Herpes zoster acompanhado de outras manifestacoes neurologicas
B023,Herpes zoster oftalmico
B027,Herpes zoster disseminado
B028,Herpes zoster com outras complicacoes
B029,Herpes zoster sem complicacao
B03,Variola
B04,Variola dos macacos Monkeypox
B050,Sarampo complicado por encefalite
B051,Sarampo complicado por meningite
B052,Sarampo complicado por pneumonia
B053,Sarampo complicado por otite media
B054,Sarampo com complicacoes intestinais
B058,Sarampo com outras complicacoes
B059,Sarampo sem complicacao
B060,Rubeola com complicacoes neurologicas
B068,Rubeola com outras complicacoes
B069,Rubeola sem complicacao
B07,Verrugas de origem viral
B080,Outras infeccoes por ortopoxvirus
B081,Molusco contagioso
B082,Exantema subito sexta doenca
B083,Eritema infeccioso quinta doenca
B084,Estomatite vesicular devida a enterovirus com exantema
B085,Faringite vesicular devida a enterovirus
B088,Outras infeccoes virais especificadas caracterizadas por lesoes de pele e das membranas mucosas
B09,Infeccao viral nao especificada caracterizada por lesoes da pele e membranas mucosas
B150,Hepatite A com coma hepatico
B159,Hepatite A sem coma hepatico
B160,Hepatite aguda B com agente Delta coinfeccao com coma hepatico
B161,Hepatite aguda B com agente Delta coinfeccao sem coma hepatico
B162,Hepatite aguda B sem agente Delta com coma hepatico
B169,Hepatite aguda B sem agente Delta e sem coma hepatico
B170,Superinfeccao Delta aguda de portador de hepatite B
B171,Hepatite aguda C
B172,Hepatite aguda E
B178,Outras hepatites virais agudas especificadas
B180,Hepatite viral cronica B com agente Delta
B181,Hepatite cronica viral B sem agente Delta
B182,Hepatite viral cronica C
B188,Outras hepatites cronicas virais
B189,Hepatite viral cronica nao especificada
B190,Hepatite viral nao especificada com coma
B199,Hepatite viral nao especificada sem coma
B200,Doenca pelo HIV resultando em infeccoes micobacterianas
B201,Doenca pelo HIV resultando em outras infeccoes bacterianas
B202,Doenca pelo HIV resultando em doenca citomegalica
B203,Doenca pelo HIV resultando em outras infeccoes virais
B204,Doenca pelo HIV resultando em candidiase
B205,Doenca pelo HIV resultando em outras micoses
B206,Doenca pelo HIV resultando em pneumonia por Pneumocystis jirovecii
B207,Doenca pelo HIV resultando em infeccoes multiplas
B208,Doenca pelo HIV resultando em outras doencas infecciosas e parasitarias
B209,Doenca pelo HIV resultando em doenca infecciosa ou parasitaria nao especificada
B210,Doenca pelo HIV resultando em sarcoma de Kaposi
B211,Doenca pelo HIV resultando em linfoma de Burkitt
B212,Doenca pelo HIV resultando em outros tipos de linfoma naoHodgkin
B213,Doenca pelo HIV resultando em outras neoplasias malignas dos tecidos linfatico hematopoetico e correlatos
B217,Doenca pelo HIV resultando em multiplas neoplasias malignas
B218,Doenca pelo HIV resultando em outras neoplasias malignas
B219,Doenca pelo HIV resultando em neoplasia maligna nao especificada
B220,Doenca pelo HIV resultando em encefalopatia
B221,Doenca pelo HIV resultando em pneumonite intersticial linfatica
B222,Doenca pelo HIV resultando em sindrome de emaciacao
B227,Doenca pelo HIV resultando em doencas multiplas classificadas em outra parte
B230,Sindrome de infeccao aguda pelo HIV
B231,Doenca pelo HIV resultando em linfadenopatias generalizadas persistentes
B232,Doenca pelo HIV resultando em anomalias hematologicas e imunologicas nao classificadas em outra parte
B238,Doenca pelo HIV resultando em outra afeccoes especificadas
B24,Doenca pelo virus da imunodeficiencia humana HIV nao especificada
B250,Pneumonite por citomegalovirus
B251,Hepatite por citomegalovirus
B252,Pancreatite por citomegalovirus
B258,Outras doencas por citomegalovirus
B259,Doenca nao especificada por citomegalovirus
B260,Orquite por caxumba parotidite epidemica
B261,Meningite por caxumba parotidite epidemica
B262,Encefalite por caxumba parotidite epidemica
B263,Pancreatite por caxumba parotidite epidemica
B268,Caxumba parotidite epidemica com outras complicacoes
B269,Caxumba parotidite epidemica sem complicacoes
B270,Mononucleose pelo virus herpes gama
B271,Mononucleose por citomegalovirus
B278,Outras mononucleoses infecciosas
B279,Mononucleose infecciosa nao especificada
B300,Ceratoconjuntivite devida a adenovirus
B301,Conjuntivite devida a adenovirus
B302,Faringoconjuntivite viral
B303,Conjuntivite hemorragica aguda endemica por enterovirus
B308,Outras conjuntivites virais
B309,Conjuntivite viral nao especificada
B330,Mialgia epidemica
B331,Doenca de Ross River
B332,Cardite viral
B333,Infeccao por retrovirus nao classificada em outra parte
B334,Sindrome cardiopulmonar por Hantavirus SPH SCPH
B338,Outras doencas especificadas por virus
B340,Infeccao por adenovirus de localizacao nao especificada
B341,Infeccao por enterovirus de localizacao nao especificada
B342,Infeccao por coronavirus de localizacao nao especificada
B343,Infeccao por parvovirus de localizacao nao especificada
B344,Infeccao por papovavirus de localizacao nao especificada
B348,Outras infeccoes por virus de localizacao nao especificada
B349,Infeccao viral nao especificada
B350,Tinha da barba e do couro cabeludo
B351,Tinha das unhas
B352,Tinha da mao
B353,Tinha dos pes
B354,Tinha do corpo
B355,Tinha imbricada
B356,Tinea cruris
B358,Outras dermatofitoses
B359,Dermatofitose nao especificada
B360,Pitiriase versicolor
B361,Tinha negra
B362,Piedra branca
B363,Piedra negra
B368,Outras micoses superficiais especificadas
B369,Micose superficial nao especificada
B370,Estomatite por Candida
B371,Candidiase pulmonar
B372,Candidiase da pele e das unhas
B373,Candidiase da vulva e da vagina
B374,Candidiase de outras localizacoes urogenitais
B375,Meningite por Candida
B376,Endocardite por Candida
B377,Septicemia por Candida
B378,Candidiase de outras localizacoes
B379,Candidiase nao especificada
B380,Coccidioidomicose pulmonar aguda
B381,Coccidioidomicose pulmonar cronica
B382,Coccidioidomicose pulmonar nao especificada
B383,Coccidioidomicose cutanea
B384,Meningite por coccidioidomicose
B387,Coccidioidomicose disseminada
B388,Outras formas de coccidioidomicose
B389,Coccidioidomicose nao especificada
B390,Histoplasmose pulmonar aguda por Histoplasma capsulatum
B391,Histoplasmose pulmonar cronica por Histoplasma capsulatum
B392,Histoplasmose pulmonar nao especificada por Histoplasma capsulatum
B393,Histoplasmose disseminada por Histoplasma capsulatum
B394,Histoplasmose nao especificada por Histoplasma capsulatum
B395,Histoplasmose por Histoplasma duboisii
B399,Histoplasmose nao especificada
B400,Blastomicose pulmonar aguda
B401,Blastomicose pulmonar cronica
B402,Blastomicose pulmonar nao especificada
B403,Blastomicose cutanea
B407,Blastomicose disseminada
B408,Outras formas de blastomicose
B409,Blastomicose nao especificada
B410,Paracoccidioidomicose pulmonar
B417,Paracoccidioidomicose disseminada
B418,Outras formas de paracoccidioidomicose
B419,Paracoccidioidomicose nao especificada
B420,Esporotricose pulmonar
B421,Esporotricose linfocutanea
B427,Esporotricose disseminada
B428,Outras formas de esporotricose
B429,Esporotricose nao especificada
B430,Cromomicose cutanea
B431,Abscesso cerebral feomicotico
B432,Abscesso e cisto feomicotico subcutaneos
B438,Outras formas de cromomicose
B439,Cromomicose nao especificada
B440,Aspergilose pulmonar invasiva
B441,Outras aspergiloses pulmonares
B442,Aspergilose amigdaliana
B447,Aspergilose disseminada
B448,Outras formas de aspergilose
B449,Aspergilose nao especificada
B450,Criptococose pulmonar
B451,Criptococose cerebral
B452,Criptococose cutanea
B453,Criptococose ossea
B457,Criptococose disseminada
B458,Outras formas de criptococose
B459,Criptococose nao especificada
B460,Mucormicose pulmonar
B461,Mucormicose rinocerebral
B462,Mucormicose gastrointestinal
B463,Mucormicose cutanea
B464,Mucormicose disseminada
B465,Mucormicose nao especificada
B468,Outras zigomicoses
B469,Zigomicose nao especificada
B470,Eumicetoma
B471,Actinomicetoma
B479,Micetoma nao especificado
B480,Lobomicose
B481,Rinosporidiose
B482,Alesqueriose
B483,Geotricose
B484,Penicilose
B487,Micoses oportunistas
B488,Outras micoses especificadas
B49,Micose nao especificada
B500,Malaria por Plasmodium falciparum com complicacoes cerebrais
B508,Outras formas graves e complicadas de malaria por Plasmodium falciparum
B509,Malaria nao especificada por Plasmodium falciparum
B510,Malaria por Plasmodium vivax com rotura do baco
B518,Malaria por Plasmodium vivax com outras complicacoes
B519,Malaria por Plasmodium vivax sem complicacoes
B520,Malaria por Plasmodium malariae com nefropatia
B528,Malaria por Plasmodium malariae com outras complicacoes
B529,Malaria por Plasmodium malariae sem complicacoes
B530,Malaria por Plasmodium ovale
B531,Malaria por plasmodios de macacos
B538,Outras formas de malarias com confirmacao parasitologica nao classificadas em outra parte
B54,Malaria nao especificada
B550,Leishmaniose visceral
B551,Leishmaniose cutanea
B552,Leishmaniose cutaneomucosa
B559,Leishmaniose nao especificada
B560,Tripanossomiase por Trypanosoma gambiense
B561,Tripanossomiase por Trypanosoma rhodesiense
B569,Tripanossomiase africana nao especificada
B570,Forma aguda da doenca de Chagas com comprometimento cardiaco
B571,Forma aguda da doenca de Chagas sem comprometimento cardiaco
B572,Doenca de Chagas cronica com comprometimento cardiaco
B573,Doenca de Chagas cronica com comprometimento do aparelho digestivo
B574,Doenca de Chagas cronica com comprometimento do sistema nervoso
B575,Doenca de Chagas cronica com comprometimento de outros orgaos
B580,Oculopatia por Toxoplasma
B581,Hepatite por Toxoplasma
B582,Meningoencefalite por Toxoplasma
B583,Toxoplasmose pulmonar
B588,Toxoplasmose com comprometimento de outros orgaos
B589,Toxoplasmose nao especificada
B59,Pneumocistose
B600,Babesiose
B601,Acantamebiase
B602,Naegleriase
B608,Outras doencas especificadas devidas a protozoarios
B64,Doenca nao especificada devida a protozoarios
B650,Esquistossomose devida ao Schistosoma haematobium esquistossomose urinaria
B651,Esquistossomose devida ao Schistosoma mansoni esquistossomose intestinal
B652,Esquistossomose devida ao Schistosoma japonicum
B653,Dermatite por cercarias
B658,Outras esquistossomoses
B659,Esquistossomose nao especificada
B660,Opistorquiase
B661,Clonorquiase
B662,Dicroceliase
B663,Fascioliase
B664,Paragonimiase
B665,Fasciolopsiase
B668,Outras infestacoes por trematodeos especificados
B669,Infeccao nao especificada por trematodeo
B670,Infestacao hepatica por Echinococcus granulosus
B671,Infestacao pulmonar por Echinococcus granulosus
B672,Infestacao ossea por Echinococcus granulosus
B673,Infestacoes por Echinmococcus granulosus outras e de localizacoes multiplas
B674,Infestacao nao especificada por Echinococcus granulosus
B675,Infestacao hepatica por Echinococcus multilocularis
B676,Infeccoes por Echinococcus multilocularis outras e de localizacoes multiplas
B677,Infestacao nao especificada por Echinococcus multilocularis
B678,Infestacao hepatica nao especificada por Echinococcus
B679,Infestacoes por Echinococcus outras e as nao especificadas
B680,Infestacao por Taenia solium
B681,Infestacao por Taenia saginata
B689,Infestacao nao especificada por Taenia
B690,Cisticercose do sistema nervoso central
B691,Cisticercose do olho
B698,Cisticercose de outras localizacoes
B699,Cisticercose nao especificada
B700,Difilobotriase
B701,Esparganose
B710,Infestacao por Hymenolepis
B711,Infestacao por Dipylidium
B718,Outras infestacoes especificadas por cestoides
B719,Infestacao nao especificada por cestoides
B72,Dracontiase
B73,Oncocercose
B740,Filariose por Wuchereria bancrofti
B741,Filariose por Brugia malayi
B742,Filariose por Brugia timori
B743,Loaiase
B744,Mansonelose
B748,Outras filarioses
B749,Filariose nao especificada
B75,Triquinose
B760,Ancilostomose
B761,Necatoriase
B768,Outras ancilostomiases
B769,Ancilostomiase nao especificada
B770,Ascaridiase com complicacoes intestinais
B778,Ascaridiase com outras complicacoes
B779,Ascaridiase nao especificada
B780,Estrongiloidiase intestinal
B781,Estrongiloidiase cutanea
B787,Estrongiloidiase disseminada
B789,Estrongiloidiase nao especificada
B79,Tricuriase
B80,Oxiuriase
B810,Anisaquiase
B811,Capilariase intestinal
B812,Tricostrongilose
B813,Angiostrongiliase intestinal
B814,Helmintiases intestinais mistas
B818,Outras helmintiases intestinais especificadas
B820,Helmintiase intestinal nao especificada
B829,Parasitose intestinal nao especificada
B830,Larva migrans visceral
B831,Gnatostomiase
B832,Angrostrongiliase devida a Parastrongylus cantonensis
B833,Singamose
B834,Hirudiniase interna
B838,Outras helmintiases especificadas
B839,Helmintiase nao especificada
B850,Pediculose devida a Pediculus humanus capitis
B851,Pediculose devida a Pediculus humanus corporis
B852,Pediculose nao especificada
B853,Ftiriase
B854,Pediculose e ftiriase mista
B86,Escabiose sarna
B870,Miiase cutanea
